TestName,AMDRyzen5800x-mean_time,AMDRyzen5800x-SEM,AMDRyzen5800XCO-mean_time,AMDRyzen5800XCO-SEM,AMDTurin-mean_time,AMDTurin-SEM,AMDTurinCO-mean_time,AMDTurinCO-SEM,ARM4-mean_time,ARM4-SEM,ARM4CO-mean_time,ARM4CO-SEM,ARM1-mean_time,ARM1-SEM,ARM1CO-mean_time,ARM1CO-SEM,IntelXeon-mean_time,IntelXeon-SEM,IntelXeonCO-mean_time,IntelXeonCO-SEM
Test7/clang.x,0.00000,0.00000,0.00000,0.00000,5.40500,0.00382,5.43900,0.01354,5.87000,0.07348,6.32800,0.01801,0.00000,0.00000,0.00000,0.00000,6.53200,0.01353,6.54400,0.01162
Test7/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.41400,0.00436,5.43400,0.00738,6.84600,0.08061,6.16600,0.05383,0.00000,0.00000,0.00000,0.00000,6.53200,0.01686,6.54200,0.01382
Test8/gfortran.x,7.06800,0.03201,7.03800,0.02680,5.44900,0.01658,5.42300,0.00406,7.79100,0.07689,7.07800,0.02004,11.93900,0.09875,11.97400,0.07960,6.62800,0.01246,6.56800,0.01624
Test8/gfortran_o3.x,7.09400,0.03188,7.03600,0.04528,5.42700,0.00496,5.41500,0.00406,7.12600,0.04219,7.05800,0.02771,12.00400,0.07396,12.08200,0.08770,6.52900,0.01113,6.56400,0.01795
Test8/flang.x,0.00000,0.00000,0.00000,0.00000,5.42300,0.00426,5.40200,0.00264,6.35700,0.02401,6.17200,0.01898,0.00000,0.00000,0.00000,0.00000,6.55300,0.01506,6.52200,0.01079
Test8/flang_o3.x,0.00000,0.00000,0.00000,0.00000,5.41400,0.00473,5.41300,0.00552,6.56700,0.08434,6.20000,0.01039,0.00000,0.00000,0.00000,0.00000,6.51900,0.01234,6.51100,0.00965
Test8/ifx.x,6.52500,0.25315,3.97500,0.14539,5.41300,0.00452,1.98000,0.02203,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.56100,0.01150,4.61100,0.01454
Test8/ifx_o3.x,6.87500,0.16088,3.95000,0.27491,5.41800,0.00401,1.96800,0.02297,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.57400,0.01072,4.61800,0.01405
Test8/gpp.x,7.08200,0.03288,7.52100,0.07677,32.34400,0.01130,27.02100,0.01270,7.29500,0.03029,6.22000,0.04323,12.33400,0.10711,12.11700,0.11319,18.77400,0.01789,18.80100,0.01889
Test8/gpp_o3.x,7.10300,0.02909,7.04500,0.03829,18.88000,0.00707,8.09800,0.00523,6.61000,0.07855,6.34400,0.02134,12.65200,0.17530,12.11600,0.13913,12.42100,0.01669,9.48400,0.02659
Test8/icx.x,4.59200,0.06246,4.16700,0.05294,1.88000,0.01749,2.02800,0.01943,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.27200,0.01805,4.68700,0.01601
Test8/icx_o3.x,4.55400,0.06592,4.13400,0.04205,1.90700,0.01483,1.87900,0.02737,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.26700,0.01861,4.62700,0.01792
Test8/clang.x,0.00000,0.00000,0.00000,0.00000,5.41300,0.00389,5.40900,0.00366,6.54300,0.10413,6.13600,0.05250,0.00000,0.00000,0.00000,0.00000,6.50300,0.01089,6.55000,0.01515
Test8/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.41400,0.00437,5.41500,0.00523,6.82000,0.08894,6.29300,0.02085,0.00000,0.00000,0.00000,0.00000,6.51300,0.00984,6.55900,0.01120
